,海报图片,电影名称,信息,评分,评价人数,短评
70,https://movie.douban.com/subject/26580232/,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿... 2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,1326680人评价,你以为你以为的就是你以为的。
71,https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2011 / 美国 英国 / 奇幻 冒险,9.0,871544人评价,10年的完美句点。
72,https://movie.douban.com/subject/1652587/,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ... 2009 / 美国 / 动作 科幻 冒险,8.8,1471900人评价,绝对意义上的美轮美奂。
73,https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks... 1998 / 美国 / 剧情 战争,9.1,672066人评价,美利坚精神输出大片No1.
74,https://movie.douban.com/subject/1292224/,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols... 1975 / 美国 / 剧情,9.1,565845人评价,自由万岁。
75,https://movie.douban.com/subject/1303021/,小鞋子,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma... 1997 / 伊朗 / 剧情 儿童 家庭,9.2,427171人评价,奔跑的孩子是天使。
76,https://movie.douban.com/subject/1291543/,功夫,导演: 周星驰 Stephen Chow 主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ... 2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,8.8,1197335人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
77,https://movie.douban.com/subject/1293544/,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安... 1991 / 美国 / 剧情 犯罪 惊悚,8.9,929579人评价,安东尼·霍普金斯的顶级表演。
78,https://movie.douban.com/subject/11525673/,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ... 2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.9,987261人评价,小清新的故事里注入了大历史的情怀。
79,https://movie.douban.com/subject/2334904/,禁闭岛,导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ... 2010 / 美国 / 剧情 悬疑 惊悚,8.9,1020902人评价,昔日翩翩少年，今日大腹便便。
80,https://movie.douban.com/subject/1292343/,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主... 2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.9,977044人评价,人的命运被自己瞬间的抉择改变。
81,https://movie.douban.com/subject/1291544/,哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma... 2004 / 英国 美国 / 奇幻 冒险,9.0,774718人评价,不一样的导演，不一样的哈利·波特。
82,https://movie.douban.com/subject/1780330/,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman... 2006 / 英国 美国 / 剧情 悬疑 惊悚,8.9,894404人评价,孪生蝙蝠侠大战克隆金刚狼。
83,https://movie.douban.com/subject/1292656/,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·... 1997 / 美国 / 剧情,8.9,747822人评价,人生中应该拥有这样的一段豁然开朗。
84,https://movie.douban.com/subject/5322596/,超脱,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西... 2011 / 美国 / 剧情,9.0,641655人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
85,https://movie.douban.com/subject/1291832/,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra... 1994 / 美国 / 剧情 喜剧 犯罪,8.9,870629人评价,故事的高级讲法。
86,https://movie.douban.com/subject/1294371/,摩登时代,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ... 1936 / 美国 / 剧情 喜剧 爱情,9.3,315777人评价,大时代中的人生，小人物的悲喜。
87,https://movie.douban.com/subject/3442220/,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos 主演: 路易·西霍尤斯 Louie Psihoyo... 2009 / 美国 / 纪录片,9.3,365601人评价,海豚的微笑，是世界上最高明的伪装。
